mpn;gender;contact_material;contact_plating;color;housing_color;housing_material;mounting_style;number_of_contacts;number_of_positions;number_of_rows;orientation;pin_pitch;material;size_diameter;size_length;size_height;size_width
640440-9;Female;Copper Alloy;Tin Lead;Red;Red;Nylon;PCB;9;9;1;;0.00254;;;0.02286;0.013208;0.006985
1-88859-0;Male;;;Black;Black;Thermoplastic;;4;4;;;0.00254;;;0.013564;0.00472;0.013716
3-640426-6;Female;Copper Alloy;Tin;Orange;Orange;Nylon;Through Hole;6;6;1;;0.00396;;;0.023774;0.018415;0.009017
3-640433-3;Female;Copper Alloy;Tin;Red;Red;Nylon;;3;3;1;;0.00396;;;0.011887;0.018415;0.009017
3-640431-5;Female;Copper Alloy;Tin;Orange;Orange;Nylon;;5;5;1;;0.00396;;;0.019812;0.018415;0.009017
4-640428-2;Female;Copper Alloy;Tin;Red;Red;Nylon;Through Hole;12;12;1;;0.00396;;;0.047549;0.009017;0.018415
640426-4;Female;Copper Alloy;Tin;Orange;Orange;Nylon;PCB;4;4;1;;0.0039624;;;0.01585;0.009017;0.018415
4-640427-0;Female;Copper Alloy;Tin;Yellow;Yellow;Nylon;;10;10;1;;0.00396;;;0.039624;0.009017;0.018415
3-643816-8;Female;Copper Alloy;Tin;Green;Green;Nylon;;8;8;1;;0.00254;;;0.02032;0.013208;0.006985
640426-8;Female;Copper Alloy;Tin;Orange;Orange;Nylon;PCB;8;8;1;;0.0039624;;;0.031699;0.009017;0.018415
1658620-2;Female;Phosphor Bronze;Tin;Black;Black;Plastic;Surface Mount;14;14;2;Vertical;0.00254;;;0.022352;0.011786;0.006096
3-643815-8;Female;Copper Alloy;Tin;Blue;Blue;Nylon;Through Hole;8;8;1;;0.00254;;;0.02032;0.013208;0.006985
3-643818-5;Female;Copper Alloy;Tin;Yellow;Yellow;Nylon;;5;5;1;;0.00396;;;0.019812;0.018415;0.009017
4-643819-0;Female;Copper Alloy;Tin;Red;Red;Nylon;;10;10;1;;0.00396;;;0.039624;0.009017;0.018415
3-643819-4;Female;Copper Alloy;Tin;Red;Red;Nylon;;4;4;1;;0.00396;;;0.01585;0.018415;0.009017
3-640620-3;Female;Copper Alloy;Tin;Red;Red;Nylon;;3;3;1;;0.00254;;;0.00762;0.013208;0.007747
643813-4;Female;Copper Alloy;Tin Lead;Red;Red;Nylon;Through Hole;4;4;1;;0.00254;;;0.01016;0.013208;0.006985
3-640427-4;Female;Copper Alloy;Tin;Orange;Yellow;Nylon;PCB;4;4;1;;0.00396;;;0.01585;0.018415;0.009017
5747150-4;Female;Phosphor Bronze;Tin;Black;Black;Thermoplastic;Through Hole;9;9;2;Vertical;0.00274;;;0.03089;0.01216;0.01255
640440-8;;Copper Alloy;Tin Lead;Red;Red;Nylon;;8;8;1;;0.00254;;;0.02032;0.013208;0.006985
487526-5;Male;;;Black;Black;Thermoplastic;;6;6;;;0.00254;;;0.01508;0.01371;0.00248
4-640443-0;Female;Copper Alloy;Tin;Green;Green;Nylon;;10;10;1;;0.00254;;;0.0254;0.013208;0.006985
3-640427-8;Female;Copper Alloy;Tin;Yellow;Yellow;Nylon;PCB;8;8;1;;0.00396;;;0.031699;0.018415;0.009017
3-640599-2;Female;Copper Alloy;Tin;Orange;Orange;Nylon;PCB;2;2;1;;0.00396;;;0.007925;0.018415;0.009779
4-643814-2;Female;Copper Alloy;Tin;White;White;Nylon;Through Hole;12;12;1;;0.00254;;;0.03048;0.006985;0.013208
3-644563-3;Female;Copper Alloy;Tin;White;White;Nylon;Through Hole;3;3;1;;0.00254;;;0.00762;0.013208;0.007747
1-487378-3;Male;;;;Black;Thermoplastic;;14;14;;;0.00254;;;0.0354;0.01371;0.00248
3-640601-4;Female;Copper Alloy;Tin;Red;Red;Nylon;Through Hole;4;4;1;;0.00396;;;0.01585;0.018415;0.009779
3-644083-2;Female;Copper Alloy;Tin;Black;Black;Nylon;;2;2;1;;0.00254;;;0.00508;0.013208;0.006985
3-640621-2;Female;Copper Alloy;Tin;White;White;Nylon;;2;2;1;;0.00254;;;0.00508;0.013208;0.007747
1445957-4;;;Tin;Green;Green;Polycarbonate;;8;1;;;;;;0.007899;0.024587;0.007899
3-640426-3;Female;Copper Alloy;Tin;Orange;Orange;Nylon;Through Hole;3;3;1;;0.00396;Nylon;;0.011887;0.018415;0.009017
3-640599-8;Female;Copper Alloy;Tin;Orange;Orange;Nylon;;8;8;1;;0.00396;;;0.031699;0.018415;0.009779
3-640428-8;Female;Copper Alloy;Tin;Red;Red;Nylon;Through Hole;8;8;1;;0.00396;;;0.031699;0.018415;0.009017
5745112-2;Female;Phosphor Bronze;Tin;Black;Black;Nylon;Through Hole;9;9;2;Right Angle;0.002769;;;0.03081;0.012548;0.026238
3-640431-8;Female;Copper Alloy;Tin;Orange;Orange;Nylon;;8;8;1;;0.00396;;;0.031699;0.018415;0.009017
770278-1;Male;;;Natural;Natural;Nylon;;1;1;1;;0.00368;;;0.00762;;0.01905
487378-4;Male;;;;Black;Thermoplastic;;5;5;;;0.00254;;;0.01254;0.01371;0.00248
487378-6;Male;;;Black;Black;Thermoplastic;;7;7;;;0.00254;;;0.01762;0.01371;0.00248
207541-7;Male;Copper Alloy;Tin;Red;Red;Nylon;Through Hole;3;3;1;Right Angle;0.005;;;0.03686;0.0127;0.0175
4-643813-2;Female;Copper Alloy;Tin;Red;Red;Nylon;;12;12;1;;0.00254;;;0.03048;0.006985;0.013208
3-640428-4;Female;Copper Alloy;Tin;Red;Red;Nylon;Through Hole;4;4;1;;0.00396;;;0.01585;0.018415;0.009017
3-640427-6;Female;Copper Alloy;Tin;Orange;Yellow;Nylon;PCB;6;6;1;;0.00396;;;0.023774;0.018415;0.009017
3-640599-3;Female;Copper Alloy;Tin;Orange;Orange;Nylon;Through Hole;3;3;1;;0.00396;;;0.011887;0.018415;0.009779
3-644465-8;Female;Copper Alloy;Tin;Orange;Orange;Nylon;Through Hole;8;8;1;;0.00396;;;0.031699;0.01842;0.00902
640441-2;;Copper Alloy;Tin Lead;White;White;Nylon;;2;2;1;;0.00254;;;0.00508;0.013208;0.006985
4-643817-2;Female;Copper Alloy;Tin;Orange;Orange;Nylon;;12;12;1;;0.00396;;;0.047549;0.009017;0.018415
3-640426-2;Female;Copper Alloy;Tin;Orange;Orange;Nylon;Through Hole;2;2;1;;0.00396;;;0.007925;0.018415;0.009017
3-640599-5;Female;Copper Alloy;Tin;Orange;Orange;Nylon;;5;5;1;;0.00396;;;0.019812;0.018415;0.009779
643814-2;;Copper Alloy;Tin Lead;White;White;Nylon;Through Hole;2;2;1;;0.00254;;;0.00508;0.013208;0.006985
88859-7;Male;;;Black;Black;Thermoplastic;;14;14;;;0.00254;;;0.038964;0.00472;0.013716
3-640443-6;Female;Copper Alloy;Tin;Green;Green;Nylon;;6;6;1;;0.00254;;;0.01524;0.013208;0.006985
487545-7;Female;;;Black;Black;Polyester;;10;10;;;0.00127;;;0.013792;0.014859;0.006985
3-640621-8;Female;Copper Alloy;Tin;White;White;Nylon;;8;8;1;;0.00254;;;0.02032;0.013208;0.007747
4-640426-2;Female;Copper Alloy;Tin;Orange;Orange;Nylon;Through Hole;12;12;1;;0.00396;;;0.047549;0.009017;0.018415
3-643819-6;Female;Copper Alloy;Tin;Red;Red;Nylon;Through Hole;6;6;1;;0.00396;;;0.023774;0.018415;0.009017
1-487378-1;Male;;Gold;;Black;Thermoplastic;;12;12;1;;0.00254;;;0.03032;0.01371;0.00248
3-643820-2;Female;Copper Alloy;Tin;White;White;Nylon;;2;2;1;;0.00396;;;0.007925;0.018415;0.009017
3-640427-3;Female;Copper Alloy;Tin;Yellow;Yellow;Nylon;PCB;3;3;1;;0.00396;;;0.011887;0.018415;0.009017
173977-4;Female;Phosphor Bronze;Tin;Natural;Natural;Plastic;;4;4;1;Straight;0.002;;;0.01;0.004;0.0051
4-643813-5;Female;Copper Alloy;Tin;Red;Red;Nylon;Through Hole;15;15;1;;0.00254;;;0.0381;0.006985;0.013208
1-111626-7;Female;Beryllium Copper;Tin Lead;Black;Black;Plastic;;10;10;2;;0.002;;;0.01516;0.010236;0.005156
7-215460-6;Female;Phosphor Bronze;Tin;Red;Red;Polyester;Through Hole;6;6;2;Right Angle;0.00127;Polyester;;0.0097;0.0058;0.0053
53894-3;Male;;;Green;Green;Polycarbonate;;1;1;;;;;;0.008052;;0.008052
3-643816-2;Female;Copper Alloy;Tin;Green;Green;Nylon;Through Hole;2;2;1;;0.00254;;;0.00508;0.013208;0.006985
3-641534-2;Female;Copper Alloy;Tin;Red;Red;Nylon;;2;2;1;;0.00254;;;0.00508;0.013462;0.006985
3-643819-9;Female;Copper Alloy;Tin;Red;Red;Nylon;;9;9;1;;0.00396;;;0.035662;0.018415;0.009017
3-640433-5;Female;Copper Alloy;Tin;Red;Red;Nylon;;5;5;1;;0.00396;;;0.019812;0.018415;0.009017
4-640440-4;Female;Copper Alloy;Tin;Red;Red;Nylon;;14;14;1;;0.00254;;;0.03556;0.006985;0.013208
4-643816-2;Female;Copper Alloy;Tin;Green;Green;Nylon;;12;12;1;;0.00254;;;0.03048;0.006985;0.013208
3-643815-3;Female;Copper Alloy;Tin;Blue;Blue;Nylon;Through Hole;3;3;1;;0.00254;;;0.00762;0.013208;0.006985
3-644466-2;Female;Copper Alloy;Tin;Yellow;Yellow;Nylon;;2;2;1;;0.00396;;;0.007925;0.01842;0.00902
XF2J-1224-11A;Female;Copper Alloy;Gold;;;;Surface Mount;12;12;;;0.0005;;;0.0105;0.00415;0.0034
3-641238-5;Male;Copper Alloy;Tin;White;White;Nylon;;5;5;1;;0.00254;;;0.0127;0.013208;0.006985
4-640620-2;Female;Copper Alloy;Tin;Red;Red;Nylon;;12;12;1;;0.00254;;;0.03048;0.007747;0.013208
3-640620-4;Female;Copper Alloy;Tin;Red;Red;Nylon;;4;4;1;;0.00254;;;0.01016;0.013208;0.007747
5207827-4;Female;Phosphor Bronze;Tin;Black;Black;Thermoplastic;Through Hole;15;15;2;Vertical;0.00274;;;0.03914;0.01217;0.01041
5207826-3;Female;Phosphor Bronze;Gold Flash;Black;Black;Thermoplastic;Through Hole;9;9;2;Vertical;0.00274;Metal;;0.03089;0.01217;0.01041
1445957-1;;;Tin;Blue;Blue;Polycarbonate;;8;1;;;;;;0.007899;0.024587;0.007899
3-640443-5;Female;Copper Alloy;Tin;Green;Green;Nylon;;5;5;1;;0.00254;;;0.0127;0.013208;0.006985
1445957-3;;;;White;White;Polycarbonate;;8;1;;;;;;0.007899;0.024587;0.007899
1-640426-0;Female;Copper Alloy;Tin Lead;;White;Nylon;;10;10;1;;0.0039624;;;0.039624;0.018415;0.00902
3-643816-4;Female;Copper Alloy;Tin;Green;Green;Nylon;Through Hole;4;4;1;;0.00254;Nylon;;0.01016;0.013208;0.006985
1-640250-4;Female;;;Natural;White;Nylon;;14;14;1;;0.00396;;;0.055448;0.00635;0.016764
3-643813-3;Female;Copper Alloy;Tin;Red;Red;Nylon;;3;3;1;;0.00254;Nylon;;0.00762;0.013208;0.006985
3-640599-9;Female;Copper Alloy;Tin;Orange;Orange;Nylon;;9;9;1;;0.00396;;;0.035662;0.018415;0.009779
3-640431-4;Female;Copper Alloy;Tin;Orange;Orange;Nylon;;4;4;1;;0.00396;;;0.01585;0.018415;0.009017
3-641653-8;Female;Copper Alloy;Tin;Red;White;Nylon;;8;8;1;;0.00254;;;0.02032;0.013208;0.007747
3-640621-4;Female;Copper Alloy;Tin;White;White;Nylon;;4;4;1;;0.00254;;;0.01016;0.013208;0.007747
3-643817-9;Female;Copper Alloy;Tin;Orange;Orange;Nylon;;9;9;1;;0.00396;;;0.035662;0.018415;0.009017
3-640427-5;Female;Copper Alloy;Tin;Yellow;Yellow;Nylon;PCB;5;5;1;;0.00396;;;0.019812;0.018415;0.009017
3-644083-3;Female;Copper Alloy;Tin;Black;Black;Nylon;;3;3;1;;0.00254;;;0.00762;0.013208;0.006985
3-640601-3;Female;Copper Alloy;Tin;Red;Red;Nylon;;3;3;1;;0.00396;;;0.011887;0.018415;0.009779
3-640443-7;Female;Copper Alloy;Tin;Green;Green;Nylon;;7;7;1;;0.00254;;;0.01778;0.013208;0.006985
3-643818-4;Female;Copper Alloy;Tin;Yellow;Yellow;Nylon;;4;4;1;;0.00396;;;0.01585;0.018415;0.009017
103957-2;Female;Phosphor Bronze;Tin Lead;Black;Black;Thermoplastic;;3;3;1;;0.00254;;;0.007569;0.01524;0.00249
487526-3;Male;;;Black;Black;Thermoplastic;;4;4;;;0.00254;;;0.01;0.01371;0.00248
3-644465-2;Female;Copper Alloy;Tin;Orange;Orange;Nylon;;2;2;1;;0.00396;;;0.007925;0.01842;0.00902
4-643813-0;Female;Copper Alloy;Tin;Red;Red;Nylon;;10;10;1;;0.00254;;;0.0254;0.006985;0.013208
3-640440-9;Female;Copper Alloy;Tin;Red;Red;Nylon;;9;9;1;;0.00254;;;0.02286;0.013208;0.006985
1-5747150-4;Female;Phosphor Bronze;Tin;Black;Black;Thermoplastic;Through Hole;9;9;2;Vertical;0.00274;;;0.03089;0.00808;0.01255
643813-2;;Copper Alloy;Tin Lead;Red;Red;Nylon;;2;2;1;;0.00254;;;0.00508;0.013208;0.006985
640443-2;Female;Copper Alloy;Tin Lead;Green;Green;Nylon;PCB;2;2;1;;0.00254;;;0.00508;0.013208;0.006985
3-643819-3;Female;Copper Alloy;Tin;Red;Red;Nylon;Through Hole;3;3;1;;0.00396;;;0.011887;0.018415;0.009017
3-644563-2;Female;Copper Alloy;Tin;White;White;Nylon;Through Hole;2;2;1;;0.00254;;;0.00508;0.013208;0.007747
3-640431-6;Female;Copper Alloy;Tin;Orange;Orange;Nylon;;6;6;1;;0.00396;;;0.023774;0.018415;0.009017
640440-3;;Copper Alloy;Tin Lead;Red;Red;Nylon;;3;3;1;;0.00254;;;0.00762;0.013208;0.006985
3-644540-5;Female;Copper Alloy;Tin;Red;Red;Nylon;Through Hole;5;5;1;;0.00254;;;0.0127;0.013208;0.007747
749805-8;Male;Brass;Gold Flash;;Black;Nylon;;15;15;2;;;;;0.03922;0.05248;0.01575
640441-5;;Copper Alloy;Tin Lead;White;White;Nylon;;5;5;1;;0.00254;;;0.0127;0.013208;0.006985
487544-3;Female;;;Black;Black;Polyester;;6;6;;;0.00127;;;0.008712;0.014859;0.002489
3-640441-7;Female;Copper Alloy;Tin;Natural;White;Nylon;PC Board;7;7;1;;0.00254;;;0.01778;0.013208;0.006985
1-480271-0;Female;;;Natural;Natural;Nylon;Panel;6;6;2;;0.00508;;;0.017907;0.023622;0.023622
4-640431-0;Female;Copper Alloy;Tin;Orange;Orange;Nylon;;10;10;1;;0.00396;;;0.039624;0.009017;0.018415
3-644465-3;Female;Copper Alloy;Tin;Orange;Orange;Nylon;Through Hole;3;3;1;;0.00396;;;0.011887;0.01842;0.00902
3-640427-2;Female;Copper Alloy;Tin;Orange;Yellow;Nylon;Through Hole;2;2;1;;0.00396;;;0.007925;0.018415;0.009017
G17S1510110EU;Male;Brass;Gold;Black;Black;Plastic;Solder;15;15;2;;0.00277;;;0.03924;0.0123;0.01255
3-640430-2;Female;Copper Alloy;Tin;Blue;Blue;Nylon;;2;2;1;;0.00396;;;0.007925;0.018415;0.009017
1-640440-4;;Copper Alloy;Tin Lead;Red;Red;Nylon;;14;14;1;;0.00254;;;0.03556;0.013208;0.006985
3-640429-2;Female;Copper Alloy;Tin;Natural;White;Nylon;PC Board;2;2;1;;0.00396;;;0.007925;0.018415;0.009017
3-640432-5;Female;Copper Alloy;Tin;Yellow;Yellow;Nylon;;5;5;1;;0.00396;;;0.019812;0.018415;0.009017
770602-8;Female;;;Natural;White;Nylon;PCB;8;8;1;;0.00254;;;0.020828;0.006604;0.012954
3-640620-7;Female;Copper Alloy;Tin;Red;Red;Nylon;;7;7;1;;0.00254;;;0.01778;0.013208;0.007747
1-747946-5;Male;Phosphor Bronze;Tin;Black;Black;Plastic;;15;15;2;;0.002769;;;0.042799;0.041656;0.016002
3-641537-3;Female;Copper Alloy;Tin;Green;Green;Nylon;PC Board;3;3;1;;0.00254;;;0.00762;0.013462;0.006985
1658623-2;Female;Phosphor Bronze;Tin;Black;Black;Plastic;;14;14;2;Vertical;0.00254;;;0.022352;0.011786;0.006096
3-643813-6;Female;Copper Alloy;Tin;Red;Red;Nylon;Through Hole;6;6;1;;0.00254;Nylon;;0.01524;0.013208;0.006985
3-640443-2;Female;Copper Alloy;Tin;Green;Green;Nylon;;2;2;1;;0.00254;;;0.00508;0.013208;0.006985
1-173977-1;Female;Phosphor Bronze;Tin;Natural;Natural;Plastic;;11;11;1;;0.002;;;0.024;0.004;0.0051
749014-1;Male;Brass;Gold Flash;;Black;Polyester;Through Hole;9;9;2;Vertical;0.002743;;;0.03081;0.003099;0.012548
5745113-2;Female;Phosphor Bronze;Tin;Black;Black;Nylon;Through Hole;15;15;2;Right Angle;0.002769;;;0.039141;0.012548;0.026238
3-640601-6;Female;Copper Alloy;Tin;Red;Red;Nylon;;6;6;1;;0.00396;;;0.023774;0.018415;0.009779
1218441-1;Male;Brass;Nickel;;Black;Plastic;Solder;9;9;2;Right Angle;;;;0.03081;0.01255;0.01072
3-640428-5;Female;Copper Alloy;Tin;Red;Red;Nylon;Through Hole;5;5;1;;0.00254;;;0.019812;0.018415;0.009017
3-644467-4;Female;Copper Alloy;Tin;Red;Red;Nylon;Through Hole;4;4;1;;0.00396;;;0.01585;0.01842;0.00978
1-207158-0;Male;Copper Alloy;Tin;Red;Red;Nylon;Through Hole;6;6;2;Vertical;0.005;;;0.01765;0.01179;0.0127
4-640442-2;Female;Copper Alloy;Tin;Blue;Blue;Nylon;;12;12;1;;0.00254;;;0.03048;0.006985;0.013208
640442-4;;Copper Alloy;Tin Lead;Blue;Blue;Nylon;;4;4;1;;0.00254;;;0.01016;0.013208;0.006985
640599-3;Female;Copper Alloy;Tin Lead;Orange;Orange;Nylon;PCB;3;3;1;;0.0039624;;;0.011887;0.009779;0.018415
3-640443-9;Female;Copper Alloy;Tin;Green;Green;Nylon;;9;9;1;;0.00254;;;0.02286;0.013208;0.006985
4-640443-4;Female;Copper Alloy;Tin;Green;Green;Nylon;;14;14;1;;0.00254;;;0.03556;0.013208;0.006985
3-643816-6;Female;Copper Alloy;Tin;Green;Green;Nylon;;6;6;1;;0.00254;;;0.01524;0.013208;0.006985
3-640441-4;Female;Copper Alloy;Tin;Natural;White;Nylon;PC Board;4;4;1;;0.00254;;;0.01016;0.013208;0.006985
3-640620-5;Female;Copper Alloy;Tin;Red;Red;Nylon;;5;5;1;;0.00254;;;0.0127;0.013208;0.007747
640428-3;Female;Copper Alloy;Tin Lead;Red;Red;Nylon;PCB;3;3;1;;0.0039624;;;0.011887;0.009017;0.018415
1-5747150-3;Female;Phosphor Bronze;Gold Flash;Black;Black;Thermoplastic;Through Hole;9;9;2;Vertical;0.00274;;;0.03089;0.00808;0.01255
3-640442-3;Female;Copper Alloy;Tin;Blue;Blue;Nylon;PC Board;3;3;1;;0.00254;;;0.00762;0.013208;0.006985
1-5747299-6;Female;Phosphor Bronze;Tin;Black;Black;Thermoplastic;Through Hole;15;15;2;Vertical;0.00274;;;0.03912;0.00808;0.01255
3-640433-6;Female;Copper Alloy;Tin;Red;Red;Nylon;;6;6;1;;0.00396;;;0.023774;0.018415;0.009017
640441-8;Female;Copper Alloy;Tin Lead;White;White;Nylon;PCB;8;8;1;;0.00254;;;0.02032;0.013208;0.006985
3-643814-4;Female;Copper Alloy;Tin;White;White;Nylon;;4;4;1;;0.00254;Nylon;;0.01016;0.013208;0.006985
5-520314-4;Female;Phosphor Bronze;Tin;Black;Black;Thermoplastic;Through Hole;4;4;;Right Angle;0.00254;;;0.01506;0.004826;0.008966
173977-2;Female;Phosphor Bronze;Tin;Natural;Natural;Plastic;PCB;2;2;1;;0.002;;;0.006;0.004;0.0051
3-643813-4;Female;Copper Alloy;Tin;Red;Red;Nylon;;4;4;1;;0.00254;Nylon;;0.01016;0.013208;0.006985
SFW12R-2STE1LF;Female;Phosphor Bronze;Tin;;Brown;;Surface Mount;12;12;;;0.001;;;0.0178;0.0027;0.0055
3-640620-8;Female;Copper Alloy;Tin;Red;Red;Nylon;;8;8;1;;0.00254;;;0.02032;0.013208;0.007747
3-644465-4;Female;Copper Alloy;Tin;Orange;Orange;Nylon;;4;4;1;;0.00396;;;0.01585;0.01842;0.00902
